repo,kind,nmains,imp,all,app_n,mod_n,main_used,app_tp_imp,app_fp_imp,app_fn_imp,mod_tp_imp,mod_fp_imp,mod_fn_imp,app_tp_all,app_fp_all,app_fn_all,mod_tp_all,mod_fp_all,mod_fn_all
arthurkushman__buildsqlx,lib_no_realmain,0,3,12,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,9
cristalhq__builq,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
rocketlaunchr__dbq,lib_no_realmain,0,5,77,NA,5,NONE,NA,NA,NA,5,0,0,NA,NA,NA,5,0,72
gchaincl__dotsql,lib_no_realmain,0,0,1,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,1
didi__gendry,lib_no_realmain,0,0,7,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,7
doug-martin__goqu,lib_no_realmain,0,5,0,NA,5,NONE,NA,NA,NA,5,0,0,NA,NA,NA,0,5,0
twharmon__gosql,lib_no_realmain,0,1,3,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,2
motrboat__hotcoal,app_run_fail,1,0,0,NA,0,nocompile,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
galeone__igor,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
go-jet__jet,app_cmd,1,10,21,9,10,cmd/jet,9,0,1,10,0,0,9,0,12,10,0,11
profe-ajedrez__obreron,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
pupizoid__ormlite,lib_no_realmain,0,4,7,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,3
go-ozzo__ozzo-dbx,lib_no_realmain,0,0,14,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,14
Jacobbrewer1__patcher,app_run_fail,1,6,0,NA,35,vendor/github.com/vektra/mockery/v2,NA,NA,NA,6,29,0,NA,NA,NA,0,35,0
HnH__qry,app_cmd,1,0,0,0,0,cmd/qry-gen,0,0,0,0,0,0,0,0,0,0,0,0
coregx__relica,lib_no_realmain,0,0,35,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,35
go-the-way__sg,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
bokwoon95__go-structured-query,app_cmd,2,9,108,7,10,cmd/sqgen-mysql,7,0,2,9,1,0,7,0,101,10,0,98
kyleconroy__sqlc,app_cmd,4,36,88,34,39,cmd/sqlc,34,0,2,36,3,0,34,0,54,39,0,49
leporo__sqlf,lib_no_realmain,0,1,8,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,7
elgris__sqrl,lib_no_realmain,0,0,3,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,3
Masterminds__squirrel,lib_no_realmain,0,2,5,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,3
knq__xo,app_root,5,33,79,33,33,.,33,0,0,33,0,0,33,0,46,33,0,46
google__cayley,app_cmd,6,91,440,87,116,cmd/cayley,87,0,4,91,25,0,87,0,353,116,0,324
viant__dsc,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
fogfish__dynamo,lib_no_realmain,0,29,36,NA,29,NONE,NA,NA,NA,29,0,0,NA,NA,NA,29,0,7
philippgille__gokv,app_run_fail,1,0,0,NA,0,magefiles,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
metalfm__transactor,lib_no_realmain,0,6,428,NA,214,NONE,NA,NA,NA,6,208,0,NA,NA,NA,214,0,214
apache__calcite-avatica-go,lib_no_realmain,0,12,32,NA,12,NONE,NA,NA,NA,12,0,0,NA,NA,NA,12,0,20
nakagami__firebirdsql,app_other,3,4,13,0,4,_attic/errormsgs,0,0,4,4,0,0,0,0,13,4,0,9
mattn__go-adodb,lib_no_realmain,0,2,5,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,3
denisenkom__go-mssqldb,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
mattn__go-oci8,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
rqlite__gorqlite,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
go-sql-driver__mysql,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
mattn__go-sqlite3,app_run_fail,1,0,0,NA,0,upgrade,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
ncruces__go-sqlite3,lib_no_realmain,0,10,17,NA,10,NONE,NA,NA,NA,10,0,0,NA,NA,NA,10,0,7
godror__godror,app_run_fail,3,5,23,NA,6,.,NA,NA,NA,5,1,0,NA,NA,NA,6,0,17
VinGarcia__ksql,lib_no_realmain,0,4,12,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,8
jackc__pgx,app_other,1,5,19,0,4,testsetup,0,0,5,4,0,1,0,0,19,4,0,15
alexeyco__pig,lib_no_realmain,0,9,30,NA,9,NONE,NA,NA,NA,9,0,0,NA,NA,NA,9,0,21
georgysavva__scany,lib_no_realmain,0,6,91,NA,5,NONE,NA,NA,NA,5,0,1,NA,NA,NA,5,0,86
lib__pq,app_run_fail,1,0,0,NA,0,pqerror,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
cvilsmeier__sqinn-go,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
qustavo__sqlhooks,lib_no_realmain,0,2,20,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,18
surrealdb__surrealdb.go,app_cmd,4,7,20,7,7,contrib/surrealdump/cmd/surrealdump,7,0,0,7,0,0,7,0,13,7,0,13
ydb-platform__ydb-go-sdk,app_cmd,2,17,76,5,14,internal/cmd/gstack,5,0,12,14,0,3,5,0,71,14,0,62
aerospike__aerospike-client-go,lib_no_realmain,0,3,47,NA,5,NONE,NA,NA,NA,3,2,0,NA,NA,NA,5,0,42
solher__arangolite,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
couchbase__go-couchbase,app_run_fail,2,0,0,NA,0,perf,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
chenmingyong0423__go-mongox,lib_no_realmain,0,9,24,NA,10,NONE,NA,NA,NA,9,1,0,NA,NA,NA,10,0,14
pilosa__go-pilosa,lib_no_realmain,0,5,167,NA,5,NONE,NA,NA,NA,5,0,0,NA,NA,NA,5,0,162
nitishm__go-rejson,lib_no_realmain,0,4,13,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,9
couchbase__gocb,lib_no_realmain,0,23,59,NA,23,NONE,NA,NA,NA,23,0,0,NA,NA,NA,23,0,36
btnguyen2k__gocosmos,lib_no_realmain,0,6,7,NA,6,NONE,NA,NA,NA,6,0,0,NA,NA,NA,6,0,1
piaohao__godis,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
bradfitz__gomemcache,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
aliexpressru__gomemcached,lib_no_realmain,0,18,56,NA,18,NONE,NA,NA,NA,18,0,0,NA,NA,NA,18,0,38
dancannon__gorethink,lib_no_realmain,0,14,29,NA,14,NONE,NA,NA,NA,14,0,0,NA,NA,NA,14,0,15
zegl__goriak,lib_no_realmain,0,3,3,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,0
go-kivik__kivik,app_cmd,3,32,380,8,102,cmd/kivik,8,0,24,32,70,0,8,0,372,102,0,278
kamva__mgm,lib_no_realmain,0,16,26,NA,13,NONE,NA,NA,NA,13,0,3,NA,NA,NA,13,0,13
mongodb__mongo-go-driver,app_run_fail,7,8,113,NA,29,internal/cmd/benchmark,NA,NA,NA,8,21,0,NA,NA,NA,29,0,84
qiniu__qmgo,lib_no_realmain,0,16,32,NA,16,NONE,NA,NA,NA,16,0,0,NA,NA,NA,16,0,16
bsm__redeo,app_cmd,1,1,3,0,1,cmd/redeo-server-example,0,0,1,1,0,0,0,0,3,1,0,2
gomodule__redigo,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
redis__go-redis,app_cmd,3,4,11,0,5,maintnotifications/e2e/cmd/proxy-fi-server,0,0,4,4,1,0,0,0,11,5,0,6
rueian__rueidis,lib_no_realmain,0,1,37,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,36
shomali11__xredis,lib_no_realmain,0,2,6,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,4
ClickHouse__clickhouse-go,app_cmd,11,56,106,0,63,internal/cmd/release,0,0,56,56,7,0,0,0,106,63,0,43
sdqri__effdsl,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
olivere__elastic,app_run_fail,17,0,0,NA,0,cluster-test,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
cch123__elasticsql,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
elastic__go-elasticsearch,app_run_fail,23,7,19,NA,7,_examples/interceptor/cmd/auth_provider,NA,NA,NA,7,0,0,NA,NA,NA,7,0,12
sourcegraph__zoekt,app_cmd,18,121,400,48,127,cmd/zoekt,48,0,73,120,7,1,48,0,352,127,0,273
goschtalt__approx,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
dromara__carbon,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
uniplaces__carbon,lib_no_realmain,0,0,3,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,3
1set__cronrange,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
rickb777__date,app_other,2,4,10,4,5,datetool,4,0,0,4,1,0,4,0,6,5,0,5
araddon__dateparse,app_other,1,3,9,3,3,dateparse,3,0,0,3,0,0,3,0,6,3,0,6
hako__durafmt,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
wlbr__feiertage,app_cmd,1,0,0,0,0,cmd/feiertage,0,0,0,0,0,0,0,0,0,0,0,0
ijt__go-anytime,lib_no_realmain,0,1,9,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,8
chmenegatti__go-date-fns,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
deatil__go-datebin,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
harkaitz__go-faketime,app_cmd,1,0,0,0,0,cmd/date-go,0,0,0,0,0,0,0,0,0,0,0,0
yaa110__go-persian-calendar,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
xhit__go-str2duration,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
nathan-osman__go-sunrise,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
stoewer__go-week,lib_no_realmain,0,1,9,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,8
bykof__gostradamus,lib_no_realmain,0,1,7,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,6
relvacode__iso8601,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
jinzhu__now,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
osteele__tuesday,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
lesismal__arpc,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
z5labs__bedrock,lib_no_realmain,0,37,85,NA,37,NONE,NA,NA,NA,37,0,0,NA,NA,NA,37,0,48
capillariesio__capillaries,app_other,4,50,118,50,50,pkg/exe/daemon,50,0,0,50,0,0,50,0,68,50,0,68
schigh__circuit,app_other,4,0,0,0,0,_algo_tests,0,0,0,0,0,0,0,0,0,0,0,0
cmd-stream__cmd-stream-go,lib_no_realmain,0,7,11,NA,7,NONE,NA,NA,NA,7,0,0,NA,NA,NA,7,0,4
vadiminshakov__committer,app_root,1,43,141,42,45,.,42,0,1,43,2,0,42,0,99,45,0,96
buraksezer__consistent,app_run_fail,1,0,0,NA,0,_examples,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
mbrostami__consistenthash,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
anacrolix__dht,app_cmd,5,71,355,24,75,cmd/dht,24,0,47,71,4,0,24,0,331,75,0,280
edwingeng__doublejump,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
lni__dragonboat,lib_no_realmain,0,36,221,NA,33,NONE,NA,NA,NA,32,1,4,NA,NA,NA,33,0,188
dragonflyoss__Dragonfly2,app_cmd,2,193,611,188,211,cmd/manager,188,0,5,193,18,0,188,0,423,211,0,400
dgruber__drmaa,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
emitter-io__emitter,app_root,1,59,137,59,58,.,59,0,0,58,0,1,59,0,78,58,0,79
ktr0731__evans,app_root,2,55,560,53,190,.,53,0,2,55,135,0,53,0,507,190,0,370
andy2046__failured,lib_no_realmain,0,1,0,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,0,1,0
vectaport__flowgraph,app_other,1,3,6,3,3,duckpond,3,0,0,3,0,0,3,0,3,3,0,3
chrislusf__gleam,app_other,2,68,278,17,69,distributed/gleam,17,0,51,68,1,0,17,0,261,69,0,209
gmsec__micro,lib_no_realmain,0,22,169,NA,25,NONE,NA,NA,NA,22,3,0,NA,NA,NA,25,0,144
unionj-cloud__go-doudou,app_root,1,259,756,160,270,.,160,0,99,259,11,0,160,0,596,270,0,486
go-eagle__eagle,app_root,3,190,823,124,200,.,124,0,66,190,10,0,124,0,699,200,0,623
go-kit__kit,lib_no_realmain,0,78,229,NA,78,NONE,NA,NA,NA,77,1,1,NA,NA,NA,78,0,151
micro__go-micro,app_cmd,4,85,253,67,88,cmd/micro,67,0,18,85,3,0,67,0,186,88,0,165
sanketplus__go-mysql-lock,lib_no_realmain,0,0,20,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,20
pdupub__go-pdu,app_cmd,1,138,442,137,150,cmd/pdu,137,0,1,138,12,0,137,0,305,150,0,292
AppsFlyer__go-sundheit,lib_no_realmain,0,1,11,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,10
tal-tech__go-zero,lib_no_realmain,0,120,222,NA,123,NONE,NA,NA,NA,119,4,1,NA,NA,NA,123,0,99
grpc__grpc-go,app_run_fail,21,39,85,NA,40,cmd/protoc-gen-go-grpc,NA,NA,NA,39,1,0,NA,NA,NA,40,0,45
schigh__health,app_cmd,3,0,0,0,0,e2e/cmd/gateway,0,0,0,0,0,0,0,0,0,0,0,0
hprose__hprose-golang,lib_no_realmain,0,12,26,NA,12,NONE,NA,NA,NA,12,0,0,NA,NA,NA,12,0,14
osamingo__jsonrpc,lib_no_realmain,0,7,13,NA,7,NONE,NA,NA,NA,7,0,0,NA,NA,NA,7,0,6
ybbus__jsonrpc,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
k8gb-io__k8gb,app_root,1,99,308,98,95,.,98,0,1,93,2,6,98,0,210,95,0,213
cloudwego__kitex,lib_no_realmain,0,41,80,NA,41,NONE,NA,NA,NA,41,0,0,NA,NA,NA,41,0,39
go-kratos__kratos,app_run_fail,3,14,52,NA,14,cmd/kratos,NA,NA,NA,14,0,0,NA,NA,NA,14,0,38
liftbridge-io__liftbridge,app_root,3,64,360,61,65,.,61,0,3,64,1,0,61,0,299,65,0,295
ubgo__lock,lib_no_realmain,0,0,202,NA,38,NONE,NA,NA,NA,0,38,0,NA,NA,NA,38,0,164
luraproject__lura,lib_no_realmain,0,26,61,NA,37,NONE,NA,NA,NA,26,11,0,NA,NA,NA,37,0,24
mochi-co__mqtt,app_cmd,2,40,191,40,40,cmd/docker,40,0,0,40,0,0,40,0,151,40,0,151
nats-io__nats-server,app_root,2,9,23,9,10,.,9,0,0,9,1,0,9,0,14,10,0,13
alibaba__opentelemetry-go-auto-instrumentation,lib_no_realmain,0,52,130,NA,57,NONE,NA,NA,NA,50,7,2,NA,NA,NA,57,0,73
oras-project__oras,app_cmd,1,23,42,23,24,cmd/oras,23,0,0,23,1,0,23,0,19,24,0,18
oagudo__outbox,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
italolelis__outboxer,lib_no_realmain,0,25,178,NA,26,NONE,NA,NA,NA,24,2,1,NA,NA,NA,26,0,152
hashicorp__raft,lib_no_realmain,0,10,78,NA,10,NONE,NA,NA,NA,10,0,0,NA,NA,NA,10,0,68
etcd-io__raft,lib_no_realmain,0,6,10,NA,4,NONE,NA,NA,NA,4,0,2,NA,NA,NA,4,0,6
cenkalti__rain,app_root,1,41,66,41,42,.,41,0,0,41,1,0,41,0,25,42,0,24
bsm__redislock,lib_no_realmain,0,3,11,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,8
nexcode__rpcplatform,lib_no_realmain,0,26,109,NA,38,NONE,NA,NA,NA,26,12,0,NA,NA,NA,38,0,71
smallnest__rpcx,lib_no_realmain,0,49,186,NA,62,NONE,NA,NA,NA,49,13,0,NA,NA,NA,62,0,124
jexia__semaphore,app_cmd,2,47,0,46,55,cmd/semaphore,45,1,2,46,9,1,0,46,0,0,55,0
zhufuyi__sponge,app_cmd,13,215,497,40,229,cmd/perftest,40,0,175,215,14,0,40,0,457,229,0,268
tarmac-project__tarmac,app_cmd,1,115,333,115,116,cmd/tarmac,115,0,0,115,1,0,115,0,218,116,0,217
temporalio__sdk-go,app_run_fail,3,23,69,NA,22,internal/cmd/build,NA,NA,NA,22,0,1,NA,NA,NA,22,0,47
trpc-group__trpc-go,lib_no_realmain,0,36,66,NA,36,NONE,NA,NA,NA,36,0,0,NA,NA,NA,36,0,30
skibish__ddns,app_root,1,17,119,17,22,.,17,0,0,17,5,0,17,0,102,22,0,97
timothyye__godns,app_run_fail,1,33,66,NA,37,cmd/godns,NA,NA,NA,33,4,0,NA,NA,NA,37,0,29
AfterShip__email-verifier,app_cmd,2,4,22,4,4,cmd/apiserver,4,0,0,4,0,0,4,0,18,4,0,18
dimuska139__go-email-normalizer,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
BrianLeishman__go-imap,lib_no_realmain,0,26,37,NA,26,NONE,NA,NA,NA,26,0,0,NA,NA,NA,26,0,11
emersion__go-imap,app_cmd,1,2,12,2,2,cmd/imapmemserver,2,0,0,2,0,0,2,0,10,2,0,10
wneessen__go-mail,lib_no_realmain,0,1,4,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,3
emersion__go-message,lib_no_realmain,0,1,10,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,9
vanng822__go-premailer,app_other,1,17,34,17,17,cmd,17,0,0,17,0,0,17,0,17,17,0,17
xhit__go-simple-mail,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
matcornic__hermes,lib_no_realmain,0,24,43,NA,25,NONE,NA,NA,NA,24,1,0,NA,NA,NA,25,0,18
foxcpp__maddy,app_cmd,3,106,403,98,155,cmd/maddy,95,3,11,103,52,3,95,3,308,152,3,251
mailgun__mailgun-go,lib_no_realmain,0,3,77,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,74
axllent__mailpit,app_root,2,55,90,55,57,.,55,0,0,55,2,0,55,0,35,57,0,33
valord577__mailx,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
mjl-__mox,app_root,5,23,0,23,28,.,23,0,0,23,5,0,0,23,0,0,28,0
mocktools__go-smtp-mock,app_cmd,1,0,6,0,0,cmd/smtpmock,0,0,0,0,0,0,0,0,6,0,0,6
tickstem__verify,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
truemail-rb__truemail-go,lib_no_realmain,0,12,22,NA,15,NONE,NA,NA,NA,12,3,0,NA,NA,NA,15,0,7
mattn__anko,app_root,3,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0
yuin__gopher-lua,app_cmd,1,1,4,1,2,cmd/glua,1,0,0,1,1,0,1,0,3,2,0,2
google__cel-go,app_run_fail,3,8,0,NA,8,codelab,NA,NA,NA,8,0,0,NA,NA,NA,0,8,0
krotik__ecal,app_other,2,1,1,1,1,cli,1,0,0,1,0,0,1,0,0,1,0,0
antonmedv__expr,app_run_fail,3,0,0,NA,0,repl,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
dunglas__frankenphp,app_run_fail,3,41,91,NA,53,caddy/frankenphp,NA,NA,NA,41,12,0,NA,NA,NA,53,0,38
gentee__gentee,app_other,2,3,14,3,3,cli,3,0,0,3,0,0,3,0,11,3,0,11
Shopify__go-lua,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
speedata__go-lua,app_run_fail,1,0,0,NA,0,benchmarks,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
dop251__goja,app_other,1,5,19,5,5,goja,5,0,0,5,0,0,5,0,14,5,0,14
aarzilli__golua,app_run_fail,1,0,0,NA,0,_docgenerator,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
PaesslerAG__gval,lib_no_realmain,0,1,2,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,1
ichiban__prolog,app_cmd,1,2,13,2,2,cmd/1pl,2,0,0,2,0,0,2,0,11,2,0,11
google__starlark-go,app_cmd,3,4,8,3,4,cmd/starlark,3,0,1,4,0,0,3,0,5,4,0,4
1set__starlet,app_run_fail,1,12,25,NA,12,cmd/starlet,NA,NA,NA,12,0,0,NA,NA,NA,12,0,13
d5__tengo,app_cmd,3,0,0,0,0,cmd/bench,0,0,0,0,0,0,0,0,0,0,0,0
wa-lang__wa,app_root,14,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0
emperror__emperror,lib_no_realmain,0,4,8,NA,4,NONE,NA,NA,NA,4,0,0,NA,NA,NA,4,0,4
rotisserie__eris,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
emperror__errors,lib_no_realmain,0,3,7,NA,3,NONE,NA,NA,NA,3,0,0,NA,NA,NA,3,0,4
neuronlabs__errors,lib_no_realmain,0,1,5,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,4
PumpkinSeed__errors,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
naughtygopher__errors,lib_no_realmain,0,2,36,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,34
cockroachdb__errors,lib_no_realmain,0,17,172,NA,16,NONE,NA,NA,NA,16,0,1,NA,NA,NA,16,0,156
joomcode__errorx,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
rbrahul__exception,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
go-errr__go,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
Southclaws__fault,lib_no_realmain,0,9,53,NA,9,NONE,NA,NA,NA,9,0,0,NA,NA,NA,9,0,44
hashicorp__go-multierror,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
quantumcycle__metaerr,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
uber-go__multierr,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
samber__oops,lib_no_realmain,0,5,76,NA,47,NONE,NA,NA,NA,5,42,0,NA,NA,NA,47,0,29
ztrue__tracerr,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
spf13__afero,lib_no_realmain,0,1,4,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,3
viant__afs,lib_no_realmain,0,5,79,NA,6,NONE,NA,NA,NA,5,1,0,NA,NA,NA,6,0,73
xis__baraka,lib_no_realmain,0,0,6,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,6
codingsince1985__checksum,lib_no_realmain,0,2,6,NA,2,NONE,NA,NA,NA,2,0,0,NA,NA,NA,2,0,4
otiai10__copy,lib_no_realmain,0,2,3,NA,3,NONE,NA,NA,NA,2,1,0,NA,NA,NA,3,0,0
charlievieth__fastwalk,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
junegunn__fzf,app_root,1,6,18,6,11,.,6,0,0,6,5,0,6,0,12,11,0,7
homedepot__flop,lib_no_realmain,0,1,5,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,4
dundee__gdu,app_cmd,1,39,78,39,41,cmd/gdu,39,0,0,39,2,0,39,0,39,41,0,37
artonge__go-csv-tag,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
hugocarreira__go-decent-copy,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
barasher__go-exiftool,lib_no_realmain,0,0,4,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,4
artonge__go-gtfs,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
SebastiaanKlippert__go-wkhtmltopdf,lib_no_realmain,0,0,13,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,13
no-src__gofs,app_cmd,1,83,182,83,91,cmd/gofs,83,0,0,83,8,0,83,0,99,91,0,91
adelowo__gulter,app_other,1,25,42,24,25,_examples,24,0,1,25,0,0,24,0,18,25,0,17
1set__gut,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
coregx__gxpdf,app_cmd,1,11,27,11,12,cmd/gxpdf,11,0,0,11,1,0,11,0,16,12,0,15
dastoori__higgs,lib_no_realmain,0,0,0,NA,0,NONE,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
kdomanski__iso9660,app_cmd,2,0,6,0,0,cmd/extract,0,0,0,0,0,0,0,0,6,0,0,6
rjeczalik__notify,lib_no_realmain,0,1,1,NA,1,NONE,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0
